platform,category,attribute,value,value_cleaned,report_date
foodpanda.com.bd,marketing channel,Referrals,1.86%,0.01860000006854534,2024-04-25
foodpanda.com.bd,intro,Year Founded,2012,2012.0,2024-04-25
foodpanda.com.bd,intro,Employees,5001 - 10000,,2024-04-25
foodpanda.com.bd,last month,Bounce Rate,49.23%,0.49230000376701355,2024-04-25
foodpanda.com.bd,last month,Last Month Change,3.3%,0.032999999821186066,2024-04-25
shajgoj.com,marketing channel,Display,1.13%,0.011300000362098217,2024-04-25
shajgoj.com,age,25 - 34,36.29%,0.3629000186920166,2024-04-25
shajgoj.com,intro,Annual Revenue,$2M - $5M,,2024-04-25
shajgoj.com,last month,Bounce Rate,46.04%,0.4604000151157379,2024-04-25
ohsogo.com,marketing channel,Direct,32.67%,0.32669997215270996,2024-04-25
ohsogo.com,age,35 - 44,24.35%,0.2435000091791153,2024-04-25
ohsogo.com,age,55 - 64,3.08%,0.030799999833106995,2024-04-25
ohsogo.com,age,65+,5.22%,0.05219999700784683,2024-04-25
ushopbd.com,age,45 - 54,9.81%,0.09810000658035278,2024-04-25
ushopbd.com,age,55 - 64,5.69%,0.05690000206232071,2024-04-25
ushopbd.com,last month,Pages per Visit,3.59,3.5899999141693115,2024-04-25
chaldal.com,marketing channel,Display,0.3%,0.003000000026077032,2024-04-25
chaldal.com,age,35 - 44,27.33%,0.2732999920845032,2024-04-25
chaldal.com,rank,Country Rank,#85,85.0,2024-04-25
chaldal.com,last month,Last Month Change,32.6%,0.3259999752044678,2024-04-25
shwapno.com,marketing channel,Paid Search,0%,0.0,2024-04-25
shwapno.com,marketing channel,Mail,0.05%,0.0005000000237487257,2024-04-25
shwapno.com,age,18 - 24,16.95%,0.16950000822544098,2024-04-25
shwapno.com,intro,Year Founded,- -,,2024-04-25
shwapno.com,last month,Total Visits,248.9K,248900.0,2024-04-25
daraz.com.bd,marketing channel,Referrals,0.57%,0.00570000009611249,2024-04-25
daraz.com.bd,age,45 - 54,6.3%,0.06300000101327896,2024-04-25
daraz.com.bd,last month,Pages per Visit,6.90,6.900000095367432,2024-04-25
daraz.com.bd,last month,Avg Visit Duration,00:05:18,318.0,2024-04-25
shajgoj.com,age,65+,5.61%,0.05609999969601631,2024-04-25
shajgoj.com,gender,Female,35.24%,0.352400004863739,2024-04-25
shajgoj.com,gender,Male,64.76%,0.647599995136261,2024-04-25
ohsogo.com,marketing channel,Display,2.3%,0.023000000044703484,2024-04-25
ohsogo.com,intro,Year Founded,- -,,2024-04-25
ohsogo.com,rank,Global Rank,"#96,736",96736.0,2024-04-25
ushopbd.com,marketing channel,Organic Search,27.61%,0.2761000096797943,2024-04-25
ushopbd.com,marketing channel,Mail,0%,0.0,2024-04-25
ushopbd.com,marketing channel,Display,44.61%,0.44609999656677246,2024-04-25
ushopbd.com,intro,Company,- -,,2024-04-25
ushopbd.com,intro,Industry,- -,,2024-04-25
ushopbd.com,last month,Total Visits,219.7K,219700.0,2024-04-25
ushopbd.com,last month,Avg Visit Duration,00:02:47,167.0,2024-04-25
chaldal.com,marketing channel,Mail,0.41%,0.004100000020116568,2024-04-25
chaldal.com,age,55 - 64,3.89%,0.03890000283718109,2024-04-25
chaldal.com,age,65+,6.39%,0.06390000134706497,2024-04-25
chaldal.com,intro,Company,Chaldal.com,,2024-04-25
chaldal.com,last month,Bounce Rate,70.14%,0.7013999819755554,2024-04-25
shwapno.com,age,25 - 34,35.81%,0.358100026845932,2024-04-25
shwapno.com,age,65+,7.52%,0.07519999891519547,2024-04-25
shwapno.com,rank,Category Rank,"#2,527",2527.0,2024-04-25
shwapno.com,gender,Female,21.1%,0.2110000103712082,2024-04-25
daraz.com.bd,age,25 - 34,35.82%,0.35819998383522034,2024-04-25
daraz.com.bd,intro,Annual Revenue,- -,,2024-04-25
daraz.com.bd,intro,Industry,- -,,2024-04-25
daraz.com.bd,gender,Female,22.44%,0.22439999878406525,2024-04-25
daraz.com.bd,gender,Male,77.56%,0.7755999565124512,2024-04-25
